word,definition
cephalochordate,fish-like animals having a notochord rather than a true spinal column
urochordate,primitive marine animal having a saclike unsegmented body and a urochord that is conspicuous in the larva
appendicularia,free-swimming tadpole-shaped pelagic tunicate resembling larvae of other tunicates
ascidian tadpole,free-swimming larva of ascidians; they have a tail like a tadpole that contains the notochord
amniotic sac,"thin innermost membranous sac enclosing the developing embryo of higher vertebrates (reptiles, birds and mammals)"
chorionic villus,one of the tiny villi that stick out of the fetal chorion and combine with the mother's uterine tissue to form the placenta
chorioallantois,the very vascular fetal membrane composed of the fused chorion and adjacent wall of the allantois
chorioallantoic membrane,the very vascular fetal membrane composed of the fused chorion and adjacent wall of the allantois
aquatic vertebrate,animal living wholly or chiefly in or on water
jawless vertebrate,eel-shaped vertebrate without jaws or paired appendages including the cyclostomes and some extinct forms
jawless fish,eel-shaped vertebrate without jaws or paired appendages including the cyclostomes and some extinct forms
ostracoderm,extinct fish-like jawless vertebrate having a heavily armored body; of the Paleozoic
heterostracan,extinct jawless fish with the anterior part of the body covered with bony plates; of the Silurian and Devonian
osteostracan,extinct jawless fish of the Devonian with armored head
cephalaspid,extinct jawless fish of the Devonian with armored head
lamprey eel,primitive eellike freshwater or anadromous cyclostome having round sucking mouth with a rasping tongue
sea lamprey,large anadromous lamprey sometimes used as food; destructive of native fish fauna in the Great Lakes
Petromyzon marinus,large anadromous lamprey sometimes used as food; destructive of native fish fauna in the Great Lakes
Myxine glutinosa,typical hagfish
Myxinikela siroka,fossil hagfish of the Pennsylvanian period (c. 300 million years ago) that resembled modern hagfishes
gnathostome,a vertebrate animal possessing true jaws
cartilaginous fish,fishes in which the skeleton may be calcified but not ossified
chondrichthian,fishes in which the skeleton may be calcified but not ossified
holocephalan,fish with high compressed head and a body tapering off into a long tail
holocephalian,fish with high compressed head and a body tapering off into a long tail
Chimaera monstrosa,large European chimaera
elasmobranch,"any of numerous fishes of the class Chondrichthyes characterized by a cartilaginous skeleton and placoid scales: sharks, rays, skates"
six-gilled shark,large primitive shark widely distributed in warm seas
Hexanchus griseus,large primitive shark widely distributed in warm seas
mackerel shark,fierce pelagic and oceanic sharks
Lamna nasus,voracious pointed-nose shark of northern Atlantic and Pacific
shortfin mako,very swift active bluish shark found worldwide in warm waters; important game fish
Isurus oxyrhincus,very swift active bluish shark found worldwide in warm waters; important game fish
Isurus oxyrhinchus,very swift active bluish shark found worldwide in warm waters; important game fish
longfin mako,similar to shortfin mako but darker blue
Isurus paucus,similar to shortfin mako but darker blue
bonito shark,common blue-grey shark of southwest Pacific; sport and food fish
blue pointed,common blue-grey shark of southwest Pacific; sport and food fish
Isurus glaucus,common blue-grey shark of southwest Pacific; sport and food fish
great white shark,large aggressive shark widespread in warm seas; known to attack humans
white shark,large aggressive shark widespread in warm seas; known to attack humans
man-eating shark,large aggressive shark widespread in warm seas; known to attack humans
Carcharodon carcharias,large aggressive shark widespread in warm seas; known to attack humans
basking shark,large harmless plankton-eating northern shark; often swims slowly or floats at the sea surface
Cetorhinus maximus,large harmless plankton-eating northern shark; often swims slowly or floats at the sea surface
thresher shark,large pelagic shark of warm seas with a whiplike tail used to round up small fish on which to feed
Alopius vulpinus,large pelagic shark of warm seas with a whiplike tail used to round up small fish on which to feed
carpet shark,shark of the western Pacific with flattened body and mottled skin
Orectolobus barbatus,shark of the western Pacific with flattened body and mottled skin
nurse shark,small bottom-dwelling shark of warm shallow waters on both coasts of North America and South America and from southeast Asia to Australia
Ginglymostoma cirratum,small bottom-dwelling shark of warm shallow waters on both coasts of North America and South America and from southeast Asia to Australia
Carcharias taurus,shallow-water shark with sharp jagged teeth found on both sides of Atlantic; sometimes dangerous to swimmers
Odontaspis taurus,shallow-water shark with sharp jagged teeth found on both sides of Atlantic; sometimes dangerous to swimmers
whale shark,large spotted shark of warm surface waters worldwide; resembles a whale and feeds chiefly on plankton
Rhincodon typus,large spotted shark of warm surface waters worldwide; resembles a whale and feeds chiefly on plankton
requiem shark,any of numerous sharks from small relatively harmless bottom-dwellers to large dangerous oceanic and coastal species
Carcharhinus leucas,a most common shark in temperate and tropical coastal waters worldwide; heavy-bodied and dangerous
sandbar shark,most common grey shark along coasts of middle Atlantic states; sluggish and occasionally caught by fishermen
Carcharhinus plumbeus,most common grey shark along coasts of middle Atlantic states; sluggish and occasionally caught by fishermen
blacktip shark,widely distributed shallow-water shark with fins seemingly dipped in ink
sandbar shark,widely distributed shallow-water shark with fins seemingly dipped in ink
Carcharhinus limbatus,widely distributed shallow-water shark with fins seemingly dipped in ink
whitetip shark,large deep-water shark with white-tipped dorsal fin; worldwide distribution; most dangerous shark
oceanic whitetip shark,large deep-water shark with white-tipped dorsal fin; worldwide distribution; most dangerous shark
white-tipped shark,large deep-water shark with white-tipped dorsal fin; worldwide distribution; most dangerous shark
Carcharinus longimanus,large deep-water shark with white-tipped dorsal fin; worldwide distribution; most dangerous shark
Carcharhinus longimanus,large deep-water shark with white-tipped dorsal fin; worldwide distribution; most dangerous shark
dusky shark,relatively slender blue-grey shark; nearly worldwide in tropical and temperate waters
Carcharhinus obscurus,relatively slender blue-grey shark; nearly worldwide in tropical and temperate waters
lemon shark,common shallow-water schooling shark of the Atlantic from North Carolina to Brazil and off west Africa; dangerous
Negaprion brevirostris,common shallow-water schooling shark of the Atlantic from North Carolina to Brazil and off west Africa; dangerous
great blue shark,"slender cosmopolitan, pelagic shark; blue body shades to white belly; dangerous especially during maritime disasters"
Prionace glauca,"slender cosmopolitan, pelagic shark; blue body shades to white belly; dangerous especially during maritime disasters"
tiger shark,large dangerous warm-water shark with striped or spotted body
Galeocerdo cuvieri,large dangerous warm-water shark with striped or spotted body
soupfin shark,Pacific shark valued for its fins (used by Chinese in soup) and liver (rich in vitamin A)
Galeorhinus zyopterus,Pacific shark valued for its fins (used by Chinese in soup) and liver (rich in vitamin A)
smooth dogfish,small bottom-dwelling shark found along both Atlantic coasts
smoothhound,smooth dogfish of European coastal waters
smoothhound shark,smooth dogfish of European coastal waters
Mustelus mustelus,smooth dogfish of European coastal waters
American smooth dogfish,found along the Atlantic coast of the Americas
Mustelus canis,found along the Atlantic coast of the Americas
Florida smoothhound,found from the northern Gulf of Mexico to Brazil
Mustelus norrisi,found from the northern Gulf of Mexico to Brazil
whitetip shark,smooth dogfish of Pacific and Indian Oceans and Red Sea having white-tipped dorsal and caudal fins
reef whitetip shark,smooth dogfish of Pacific and Indian Oceans and Red Sea having white-tipped dorsal and caudal fins
Triaenodon obseus,smooth dogfish of Pacific and Indian Oceans and Red Sea having white-tipped dorsal and caudal fins
Triaenodon obesus,smooth dogfish of Pacific and Indian Oceans and Red Sea having white-tipped dorsal and caudal fins
spiny dogfish,small bottom-dwelling dogfishes
Atlantic spiny dogfish,destructive dogfish of the Atlantic coastal waters of America and Europe; widely used in anatomy classes
Squalus acanthias,destructive dogfish of the Atlantic coastal waters of America and Europe; widely used in anatomy classes
Pacific spiny dogfish,dogfish of Pacific coast of North America
Squalus suckleyi,dogfish of Pacific coast of North America
hammerhead shark,medium-sized live-bearing shark with eyes at either end of a flattened hammer-shaped head; worldwide in warm waters; can be dangerous
smooth hammerhead,fished for the hides and vitamin-rich liver
Sphyrna zygaena,fished for the hides and vitamin-rich liver
smalleye hammerhead,fished for the hide and vitamin-rich liver
Sphyrna tudes,fished for the hide and vitamin-rich liver
bonnet shark,small harmless hammerhead having a spade-shaped head; abundant in bays and estuaries
Sphyrna tiburo,small harmless hammerhead having a spade-shaped head; abundant in bays and estuaries
angel shark,sharks with broad flat bodies and winglike pectoral fins but that swim the way sharks do
Squatina squatina,sharks with broad flat bodies and winglike pectoral fins but that swim the way sharks do
electric ray,any sluggish bottom-dwelling ray of the order Torpediniformes having a rounded body and electric organs on each side of the head capable of emitting strong electric discharges
smalltooth sawfish,commonly found in tropical bays and estuaries; not aggressive
Pristis pectinatus,commonly found in tropical bays and estuaries; not aggressive
roughtail stingray,one of the largest stingrays; found from Cape Cod to Cape Hatteras
Dasyatis centroura,one of the largest stingrays; found from Cape Cod to Cape Hatteras
butterfly ray,a stingray with a short tail and a broad fin
spotted eagle ray,ray with back covered with white or yellow spots; widely distributed in warm seas
spotted ray,ray with back covered with white or yellow spots; widely distributed in warm seas
Aetobatus narinari,ray with back covered with white or yellow spots; widely distributed in warm seas
cownose ray,large ray found along eastern coast of North America
cow-nosed ray,large ray found along eastern coast of North America
Rhinoptera bonasus,large ray found along eastern coast of North America
Atlantic manta,largest manta (to 22 feet across wings); found worldwide but common in Gulf of Mexico and along southern coasts of United States; primarily oceanic
Manta birostris,largest manta (to 22 feet across wings); found worldwide but common in Gulf of Mexico and along southern coasts of United States; primarily oceanic
Mobula hypostoma,small manta (to 4 feet) that travels in schools
little skate,most plentiful skate in North American inshore waters in summer; to 21 inches
Raja erinacea,most plentiful skate in North American inshore waters in summer; to 21 inches
thorny skate,cold-water bottom fish with spines on the back; to 40 inches
Raja radiata,cold-water bottom fish with spines on the back; to 40 inches
barndoor skate,one of the largest skates (to 5 feet); an active skate easy to hook
Raja laevis,one of the largest skates (to 5 feet); an active skate easy to hook
dickey-bird,small bird; adults talking to children sometimes use these words to refer to small birds
bird family,a family of warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
fighting cock,a cock bred and trained for fighting
night raven,any bird that cries at night
bird of passage,any bird that migrates seasonally
archaeopteryx,extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones; usually considered the most primitive of all birds
archeopteryx,extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones; usually considered the most primitive of all birds
Archaeopteryx lithographica,extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones; usually considered the most primitive of all birds
ibero-mesornis,sparrow-sized fossil bird of the Cretaceous period having a vestigial tail; found in Spain; considered possibly the third most primitive of all birds
iberomesornis,sparrow-sized fossil bird of the Cretaceous period having a vestigial tail; found in Spain; considered possibly the third most primitive of all birds
archaeornis,extinct primitive toothed bird with a long feathered tail and three free clawed digits on each wing
ratite bird,"flightless birds having flat breastbones lacking a keel for attachment of flight muscles: ostriches, cassowaries, emus, moas, rheas, kiwis, elephant birds"
flightless bird,"flightless birds having flat breastbones lacking a keel for attachment of flight muscles: ostriches, cassowaries, emus, moas, rheas, kiwis, elephant birds"
carinate bird,birds having keeled breastbones for attachment of flight muscles
flying bird,birds having keeled breastbones for attachment of flight muscles
Struthio camelus,fast-running African flightless bird with two-toed feet; largest living bird
Dromaius novaehollandiae,large Australian flightless bird similar to the ostrich but smaller
Emu novaehollandiae,large Australian flightless bird similar to the ostrich but smaller
Rhea americana,larger of two tall fast-running flightless birds similar to ostriches but three-toed; found from Brazil to Patagonia
Pterocnemia pennata,smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan
elephant bird,huge (to 9 ft.) extinct flightless bird of Madagascar
Dinornis giganteus,the largest moa; about 12 feet high
anomalopteryx,the smallest moa; slender moa about the size of a large turkey
Anomalopteryx oweni,the smallest moa; slender moa about the size of a large turkey
passeriform bird,perching birds mostly small and living near the ground with feet having 4 toes arranged to allow for gripping the perch; most are songbirds; hatchlings are helpless
nonpasserine bird,chiefly arboreal birds especially of the order Coraciiformes
oscine bird,passerine bird having specialized vocal apparatus
honey eater,Australasian bird with tongue and bill adapted for extracting nectar
honeysucker,Australasian bird with tongue and bill adapted for extracting nectar
hedge sparrow,small brownish European songbird
Prunella modularis,small brownish European songbird
Alauda arvensis,brown-speckled European lark noted for singing while hovering at a great height
meadow pipit,a common pipit that is brown above and white below; widely distributed in northern and central Europe and in Asia
Anthus pratensis,a common pipit that is brown above and white below; widely distributed in northern and central Europe and in Asia
Fringilla coelebs,small European finch with a cheerful song
Fringilla montifringilla,Eurasian finch
Carduelis carduelis,small European finch having a crimson face and yellow-and-black wings
Carduelis cannabina,small Old World finch whose male has a red breast and forehead
Carduelis spinus,small yellow-and-black Eurasian finch with a sharp beak
Carduelis cucullata,South American species of scarlet finch with black head and wings and tail
Carduelis flammea,small siskin-like finch with a red crown and a rosy breast and rump
Carduelis hornemanni,small siskin-like finch with a red crown
New World goldfinch,American finch whose male has yellow body plumage in summer
Spinus tristis,American finch whose male has yellow body plumage in summer
pine siskin,small finch of North American coniferous forests
Spinus pinus,small finch of North American coniferous forests
house finch,small finch originally of the western United States and Mexico
Carpodacus mexicanus,small finch originally of the western United States and Mexico
purple finch,North American finch having a raspberry-red head and breast and rump
Carpodacus purpureus,North American finch having a raspberry-red head and breast and rump
canary bird,any of several small Old World finches
common canary,native to the Canary Islands and Azores; popular usually yellow cage bird noted for its song
Serinus canaria,native to the Canary Islands and Azores; popular usually yellow cage bird noted for its song
Loxia curvirostra,finch with a bill whose tips cross when closed
Pyrrhula pyrrhula,common European finch mostly black and white with red throat and breast
dark-eyed junco,common North American junco having grey plumage and eyes with dark brown irises
slate-colored junco,common North American junco having grey plumage and eyes with dark brown irises
Junco hyemalis,common North American junco having grey plumage and eyes with dark brown irises
New World sparrow,sparrow-like North American finches
vesper sparrow,common North American finch noted for its evening song
grass finch,common North American finch noted for its evening song
Pooecetes gramineus,common North American finch noted for its evening song
white-throated sparrow,common North American finch with a white patch on the throat and black-and-white striped crown
whitethroat,common North American finch with a white patch on the throat and black-and-white striped crown
Zonotrichia albicollis,common North American finch with a white patch on the throat and black-and-white striped crown
white-crowned sparrow,finch with black-and-white striped crown
Zonotrichia leucophrys,finch with black-and-white striped crown
chipping sparrow,small North American finch common in urban areas
Spizella passerina,small North American finch common in urban areas
field sparrow,common North American finch of brushy pasturelands
Spizella pusilla,common North American finch of brushy pasturelands
tree sparrow,finch common in winter in the northern U.S.
Spizella arborea,finch common in winter in the northern U.S.
song sparrow,small songbird common in North America
Melospiza melodia,small songbird common in North America
swamp sparrow,North American finch of marshy area
Melospiza georgiana,North American finch of marshy area
indigo bunting,small deep blue North American bunting
indigo finch,small deep blue North American bunting
indigo bird,small deep blue North American bunting
Passerina cyanea,small deep blue North American bunting
ortolan bunting,brownish Old World bunting often eaten as a delicacy
Emberiza hortulana,brownish Old World bunting often eaten as a delicacy
reed bunting,European bunting inhabiting marshy areas
Emberiza schoeniclus,European bunting inhabiting marshy areas
yellowhammer,European bunting the male being bright yellow
yellow bunting,European bunting the male being bright yellow
Emberiza citrinella,European bunting the male being bright yellow
yellow-breasted bunting,common in Russia and Siberia
Emberiza aureola,common in Russia and Siberia
snow bunting,white Arctic bunting
Plectrophenax nivalis,white Arctic bunting
honeycreeper,small bright-colored tropical American songbird with a curved bill for sucking nectar
banana quit,any of several honeycreepers
true sparrow,any of several small dull-colored singing birds feeding on seeds or insects
English sparrow,small hardy brown-and-grey bird native to Europe
house sparrow,small hardy brown-and-grey bird native to Europe
Passer domesticus,small hardy brown-and-grey bird native to Europe
tree sparrow,Eurasian sparrow smaller than the house sparrow
Passer montanus,Eurasian sparrow smaller than the house sparrow
evening grosbeak,North American grosbeak
Hesperiphona vespertina,North American grosbeak
Coccothraustes coccothraustes,a common large finch of Eurasia
pine grosbeak,large grosbeak of coniferous forests of Old and New Worlds
Pinicola enucleator,large grosbeak of coniferous forests of Old and New Worlds
cardinal grosbeak,crested thick-billed North American finch having bright red plumage in the male
Richmondena cardinalis,crested thick-billed North American finch having bright red plumage in the male
Cardinalis cardinalis,crested thick-billed North American finch having bright red plumage in the male
pyrrhuloxia,crested grey-and-red bird of southwest United States and Mexico
Pyrrhuloxia sinuata,crested grey-and-red bird of southwest United States and Mexico
Pipilo erythrophthalmus,common towhee of eastern North America
green-tailed towhee,towhee of the Rocky Mountains
Chlorura chlorura,towhee of the Rocky Mountains
weaver finch,finch-like African and Asian colonial birds noted for their elaborately woven nests
Ploceus philippinus,common Indian weaverbird
Java sparrow,small finch-like Indonesian weaverbird that frequents rice fields
Padda oryzivora,small finch-like Indonesian weaverbird that frequents rice fields
grass finch,usually brightly-colored Australian weaverbirds; often kept as cage birds
zebra finch,small Australian weaverbird with markings like a zebra's
Poephila castanotis,small Australian weaverbird with markings like a zebra's
honeycreeper,small to medium-sized finches of the Hawaiian islands
Hawaiian honeycreeper,small to medium-sized finches of the Hawaiian islands
New World flycatcher,large American birds that characteristically catch insects on the wing
tyrant flycatcher,large American birds that characteristically catch insects on the wing
tyrant bird,large American birds that characteristically catch insects on the wing
Arkansas kingbird,a kingbird seen in western United States; head and back are pale grey and the breast is yellowish and the tail is black
western kingbird,a kingbird seen in western United States; head and back are pale grey and the breast is yellowish and the tail is black
Cassin's kingbird,a kingbird seen in the southwestern United States; largely grey with a yellow abdomen
Tyrannus vociferans,a kingbird seen in the southwestern United States; largely grey with a yellow abdomen
eastern kingbird,a kingbird that breeds in North America and winters in tropical America; distinguished by a white band on the tip of the tail
Tyrannus tyrannus,a kingbird that breeds in North America and winters in tropical America; distinguished by a white band on the tip of the tail
grey kingbird,a kingbird that breeds in the southeastern United States and winters in tropical America; similar to but larger than the eastern kingbird
gray kingbird,a kingbird that breeds in the southeastern United States and winters in tropical America; similar to but larger than the eastern kingbird
Tyrannus domenicensis domenicensis,a kingbird that breeds in the southeastern United States and winters in tropical America; similar to but larger than the eastern kingbird
Contopus virens,small olive-colored woodland flycatchers of eastern North America
western wood pewee,small flycatcher of western North America
Contopus sordidulus,small flycatcher of western North America
phoebe bird,small dun-colored North American flycatcher
Sayornis phoebe,small dun-colored North American flycatcher
vermillion flycatcher,tropical American flycatcher found as far north as southern Texas and Arizona; adult male has bright scarlet and black plumage
Pyrocephalus rubinus mexicanus,tropical American flycatcher found as far north as southern Texas and Arizona; adult male has bright scarlet and black plumage
cock of the rock,tropical bird of northern South America the male having brilliant red or orange plumage and an erectile disklike crest
Rupicola rupicola,tropical bird of northern South America the male having brilliant red or orange plumage and an erectile disklike crest
cock of the rock,bird of the Andes similar to Rupicola rupicola
Rupicola peruviana,bird of the Andes similar to Rupicola rupicola
umbrella bird,black tropical American bird having a large overhanging crest and long feathered wattle
Cephalopterus ornatus,black tropical American bird having a large overhanging crest and long feathered wattle
spotted antbird,"a kind of antbird found in Honduras, Nicaragua, Costa Rica and Panama, also Colombia and Ecuador of northwestern South America (Hylophylax naevioides)"
Hylophylax naevioides,"a kind of antbird found in Honduras, Nicaragua, Costa Rica and Panama, also Colombia and Ecuador of northwestern South America (Hylophylax naevioides)"
woodcreeper,any of numerous South American and Central American birds with a curved bill and stiffened tail feathers that climb and feed like woodpeckers
wood-creeper,any of numerous South American and Central American birds with a curved bill and stiffened tail feathers that climb and feed like woodpeckers
tree creeper,any of numerous South American and Central American birds with a curved bill and stiffened tail feathers that climb and feed like woodpeckers
scissortail,grey flycatcher of the southwestern United States and Mexico and Central America having a long forked tail and white breast and salmon and scarlet markings
scissortailed flycatcher,grey flycatcher of the southwestern United States and Mexico and Central America having a long forked tail and white breast and salmon and scarlet markings
Muscivora forficata,grey flycatcher of the southwestern United States and Mexico and Central America having a long forked tail and white breast and salmon and scarlet markings
scissor-tailed flycatcher,grey flycatcher of the southwestern United States and Mexico and Central America having a long forked tail and white breast and salmon and scarlet markings
Old World flycatcher,any of a large group of small songbirds that feed on insects taken on the wing
true flycatcher,any of a large group of small songbirds that feed on insects taken on the wing
spotted flycatcher,common European woodland flycatcher with greyish-brown plumage
Muscicapa striata,common European woodland flycatcher with greyish-brown plumage
Muscicapa grisola,common European woodland flycatcher with greyish-brown plumage
missel thrush,large European thrush that feeds on mistletoe berries
mistle thrush,large European thrush that feeds on mistletoe berries
mistletoe thrush,large European thrush that feeds on mistletoe berries
Turdus viscivorus,large European thrush that feeds on mistletoe berries
song thrush,common Old World thrush noted for its song
Turdus philomelos,common Old World thrush noted for its song
Turdus pilaris,medium-sized Eurasian thrush seen chiefly in winter
Turdus iliacus,small European thrush having reddish flanks
European blackbird,common black European thrush
Turdus merula,common black European thrush
ring blackbird,European thrush common in rocky areas; the male has blackish plumage with a white band around the neck
ring thrush,European thrush common in rocky areas; the male has blackish plumage with a white band around the neck
Turdus torquatus,European thrush common in rocky areas; the male has blackish plumage with a white band around the neck
American robin,large American thrush having a rust-red breast and abdomen
Turdus migratorius,large American thrush having a rust-red breast and abdomen
clay-colored robin,robin of Mexico and Central America
Turdus greyi,robin of Mexico and Central America
hermit thrush,North American thrush noted for its complex and appealing song
Hylocichla guttata,North American thrush noted for its complex and appealing song
Wilson's thrush,tawny brown North American thrush noted for its song
Hylocichla fuscescens,tawny brown North American thrush noted for its song
wood thrush,large thrush common in eastern American woodlands; noted for its melodious song
Hylocichla mustelina,large thrush common in eastern American woodlands; noted for its melodious song
nightingale,European songbird noted for its melodious nocturnal song
Luscinia megarhynchos,European songbird noted for its melodious nocturnal song
thrush nightingale,large nightingale of eastern Europe
Luscinia luscinia,large nightingale of eastern Europe
Old World chat,songbirds having a chattering call
Saxicola torquata,common European chat with black plumage and a reddish-brown breast
Saxicola rubetra,brown-and-buff European songbird of grassy meadows
robin redbreast,small Old World songbird with a reddish breast
Old World robin,small Old World songbird with a reddish breast
Erithacus rubecola,small Old World songbird with a reddish breast
Erithacus rubecula,small Old World songbird with a reddish breast
Erithacus svecicus,songbird of northern Europe and Asia
gnatcatcher,very small North American and South American warblers
golden-crested kinglet,European kinglet with a black-bordered yellow crown patch
Regulus regulus,European kinglet with a black-bordered yellow crown patch
gold-crowned kinglet,American golden-crested kinglet
Regulus satrapa,American golden-crested kinglet
ruby-crowned kinglet,American kinglet with a notable song and in the male a red crown patch
ruby-crowned wren,American kinglet with a notable song and in the male a red crown patch
Regulus calendula,American kinglet with a notable song and in the male a red crown patch
Old World warbler,small active brownish or greyish Old World birds
true warbler,small active brownish or greyish Old World birds
Sylvia atricapilla,small brownish-grey warbler with a black crown
greater whitethroat,greyish-brown Old World warbler with a white throat and underparts
whitethroat,greyish-brown Old World warbler with a white throat and underparts
Sylvia communis,greyish-brown Old World warbler with a white throat and underparts
Curruca communis,greyish-brown Old World warbler with a white throat and underparts
lesser whitethroat,Old World warbler similar to the greater whitethroat but smaller
whitethroat,Old World warbler similar to the greater whitethroat but smaller
Sylvia curruca,Old World warbler similar to the greater whitethroat but smaller
wood warbler,European woodland warbler with dull yellow plumage
Phylloscopus sibilatrix,European woodland warbler with dull yellow plumage
sedge warbler,small European warbler that breeds among reeds and wedges and winters in Africa
Acrocephalus schoenobaenus,small European warbler that breeds among reeds and wedges and winters in Africa
wren warbler,small Asiatic and African bird; constructs nests like those of tailorbirds
Orthotomus sutorius,tropical Asian warbler that stitches leaves together to form and conceal its nest
New World warbler,small bright-colored American songbird with a weak unmusical song
wood warbler,small bright-colored American songbird with a weak unmusical song
parula warbler,small grey-blue wood warbler with yellow throat and breast; of eastern North America
northern parula,small grey-blue wood warbler with yellow throat and breast; of eastern North America
Parula americana,small grey-blue wood warbler with yellow throat and breast; of eastern North America
Wilson's warbler,yellow wood warbler with a black crown
Wilson's blackcap,yellow wood warbler with a black crown
Wilsonia pusilla,yellow wood warbler with a black crown
flycatching warbler,any of numerous American wood warblers that feed on insects caught on the wing
American redstart,flycatching warbler of eastern North America the male having bright orange on sides and wings and tail
Setophaga ruticilla,flycatching warbler of eastern North America the male having bright orange on sides and wings and tail
Cape May warbler,North American wood warbler; olive green and yellow striped with black
Dendroica tigrina,North American wood warbler; olive green and yellow striped with black
yellow warbler,yellow-throated American wood warbler
golden warbler,yellow-throated American wood warbler
Dendroica petechia,yellow-throated American wood warbler
Blackburnian warbler,black-and-white North American wood warbler having an orange-and-black head and throat
Dendroica fusca,black-and-white North American wood warbler having an orange-and-black head and throat
Audubon's warbler,common warbler of western North America
Audubon warbler,common warbler of western North America
Dendroica auduboni,common warbler of western North America
myrtle warbler,similar to Audubon's warbler
myrtle bird,similar to Audubon's warbler
Dendroica coronata,similar to Audubon's warbler
Dendroica striate,North American warbler having a black-and-white head
Dendroica striata,North American warbler having a black-and-white head
New World chat,birds having a chattering call
yellow-breasted chat,American warbler noted for imitating songs of other birds
Icteria virens,American warbler noted for imitating songs of other birds
Seiurus aurocapillus,American warbler; builds a dome-shaped nest on the ground
water thrush,brownish North American warbler found near streams
yellowthroat,small olive-colored American warblers with yellow breast and throat
common yellowthroat,an American warbler
Maryland yellowthroat,an American warbler
Geothlypis trichas,an American warbler
bird of paradise,any of numerous brilliantly colored plumed birds of the New Guinea area
Ptiloris paradisea,velvety black Australian bird of paradise with green and purple iridescence on head and tail
New World oriole,American songbird; male is black and orange or yellow
American oriole,American songbird; male is black and orange or yellow
northern oriole,a kind of New World oriole
Icterus galbula,a kind of New World oriole
Baltimore oriole,eastern subspecies of northern oriole
Baltimore bird,eastern subspecies of northern oriole
Icterus galbula galbula,eastern subspecies of northern oriole
Bullock's oriole,western subspecies of northern oriole
Icterus galbula bullockii,western subspecies of northern oriole
orchard oriole,the male is chestnut-and-black
Icterus spurius,the male is chestnut-and-black
eastern meadowlark,a meadowlark of eastern North America
Sturnella magna,a meadowlark of eastern North America
western meadowlark,a meadowlark of western North America
Sturnella neglecta,a meadowlark of western North America
Dolichonyx oryzivorus,migratory American songbird
New World blackbird,any bird of the family Icteridae whose male is black or predominantly black
crow blackbird,long-tailed American blackbird having iridescent black plumage
purple grackle,eastern United States grackle
Quiscalus quiscula,eastern United States grackle
rusty blackbird,North American blackbird whose bluish-black plumage is rusty-edged in the fall
rusty grackle,North American blackbird whose bluish-black plumage is rusty-edged in the fall
Euphagus carolinus,North American blackbird whose bluish-black plumage is rusty-edged in the fall
red-winged blackbird,North American blackbird with scarlet patches on the wings
Agelaius phoeniceus,North American blackbird with scarlet patches on the wings
Old World oriole,mostly tropical songbird; the male is usually bright orange and black
golden oriole,bright yellow songbird with black wings
Oriolus oriolus,bright yellow songbird with black wings
common starling,gregarious bird having plumage with dark metallic gloss; builds nests around dwellings and other structures; naturalized worldwide
Sturnus vulgaris,gregarious bird having plumage with dark metallic gloss; builds nests around dwellings and other structures; naturalized worldwide
rose-colored starling,glossy black bird with pink back and abdomen; chiefly Asian
rose-colored pastor,glossy black bird with pink back and abdomen; chiefly Asian
Pastor sturnus,glossy black bird with pink back and abdomen; chiefly Asian
Pastor roseus,glossy black bird with pink back and abdomen; chiefly Asian
crested myna,dark brown crested bird of southeastern Asia
Acridotheres tristis,dark brown crested bird of southeastern Asia
Indian grackle,glossy black Asiatic starling often taught to mimic speech
Gracula religiosa,glossy black Asiatic starling often taught to mimic speech
corvine bird,birds of the crow family
American crow,common crow of North America
Corvus brachyrhyncos,common crow of North America
Corvus corax,large black bird with a straight bill and long wedge-shaped tail
Corvus frugilegus,common gregarious Old World bird about the size and color of the American crow
Corvus monedula,common black-and-grey Eurasian bird noted for thievery
Old World jay,a European jay
common European jay,fawn-colored jay with black-and-white crest and blue-and-black wings
Garullus garullus,fawn-colored jay with black-and-white crest and blue-and-black wings
Garrulus glandarius,fawn-colored jay with black-and-white crest and blue-and-black wings
New World jay,a North American jay
Cyanocitta cristata,common jay of eastern North America; bright blue with grey breast
camp robber,a jay of northern North America with black-capped head and no crest; noted for boldness in thievery
whisker jack,a jay of northern North America with black-capped head and no crest; noted for boldness in thievery
Perisoreus canadensis,a jay of northern North America with black-capped head and no crest; noted for boldness in thievery
Rocky Mountain jay,a Canada jay with a white head; widely distributed from Montana to Arizona
Perisoreus canadensis capitalis,a Canada jay with a white head; widely distributed from Montana to Arizona
common nutcracker,Old World nutcracker
Nucifraga caryocatactes,Old World nutcracker
Clark's nutcracker,nutcracker of the western United States
Nucifraga columbiana,nutcracker of the western United States
European magpie,a common magpie of Eurasia
American magpie,a magpie of Rocky Mountains in North America
Pica pica hudsonia,a magpie of Rocky Mountains in North America
Australian magpie,black-and-white oscine birds that resemble magpies
butcherbird,large carnivorous Australian bird with the shrike-like habit of impaling prey on thorns
bell magpie,bluish black fruit-eating bird with a bell-like call
piping crow,crow-sized black-and-white bird; a good mimic often caged
