word,definition
unfavourable,involving or creating circumstances detrimental to success or effectiveness
adventurous,willing to undertake or seeking out new and daring enterprises
adventuresome,willing to undertake or seeking out new and daring enterprises
venturesome,disposed to venture or take risks
swashbuckling,flamboyantly adventurous
unadventurous,lacking in boldness
inadvisable,not prudent or wise; not recommended
unadvisable,not prudent or wise; not recommended
well-advised,having the benefit of careful prior consideration or counsel
ill-advised,without careful prior deliberation or counsel
aerophilous,depending on free oxygen or air
anaerobiotic,living or active in the absence of free oxygen
aesthetical,concerning or characterized by an appreciation of beauty or good taste
inaesthetic,violating aesthetic canons or requirements; deficient in tastefulness or beauty
unaesthetic,violating aesthetic canons or requirements; deficient in tastefulness or beauty
stage-struck,infatuated with or enthralled by the theater especially the desire to act
wonder-struck,affected by or overcome with wonder
unimpressed,not moved to serious regard
uninfluenced,not influenced or affected
constrained,lacking spontaneity; not natural
elocutionary,(used of style of speaking) overly embellished
unselfconscious,not self-conscious
affirmative,affirming or giving assent
affirmatory,affirming or giving assent
dissentient,"disagreeing, especially with a majority"
repudiative,rejecting emphatically; e.g. refusing to pay or disowning
agoraphobic,suffering from agoraphobia; abnormally afraid of open or public places
apprehensive,in fear or dread of possible evil or harm
claustrophobic,suffering from claustrophobia; abnormally afraid of closed-in places
horror-stricken,stricken with horror
horror-struck,stricken with horror
hydrophobic,abnormally afraid of water
panic-stricken,thrown into a state of intense fear or desperation
panic-struck,thrown into a state of intense fear or desperation
terror-stricken,struck or filled with terror
terror-struck,struck or filled with terror
triskaidekaphobic,suffering from triskaidekaphobia (abnormal fear of the number 13)
white-lipped,having white lips from fear or terror
unapprehensive,not recognizing or slow to recognize danger
unflinching,not shrinking from danger
unintimidated,not shrinking from danger
unshrinking,not shrinking from danger
unfrightened,not affected by fright
competitive,showing a fighting disposition
hard-hitting,aggressively and persistently persuasive
high-pressure,aggressively and persistently persuasive
in-your-face,blatantly aggressive
obstreperous,boisterously and noisily aggressive
unaggressive,not aggressive; not given to fighting or assertiveness
nonaggressive,not aggressive; not given to fighting or assertiveness
low-pressure,not forceful
overwrought,deeply agitated especially from emotion
psychedelic,(of a mental state) characterized by intense and distorted perceptions and hallucinations and feelings of euphoria or sometimes despair
nonturbulent,(of a liquid) not turbulent
disagreeable,not to your liking
pestiferous,causing irritation or annoyance
nerve-racking,extremely irritating to the nerves
nerve-wracking,extremely irritating to the nerves
air-to-surface,operating from or designed to be fired from aircraft at targets on the ground
air-to-ground,operating from or designed to be fired from aircraft at targets on the ground
surface-to-air,operating from or designed to be launched from the ground against an airborne target
algorithmic,of or relating to or having the characteristics of an algorithm
trial-and-error,relating to solving problems by experience rather than theory
appropriable,that can be appropriated
